cycle,time,SD,class
0,9,5.90117330241855,1
0,10,5.687741962699487,1
0,11,5.058889266174088,1
0,12,4.0999950701915004,1
0,13,2.9235598971124688,1
0,14,1.8010520272941486,1
0,15,0.8909523884845938,1
0,16,0.25812723300007273,1
0,17,0.10017568849358228,1
0,18,0.4600380141210715,1
0,19,1.151604536812999,1
0,20,1.7988182445958487,1
0,21,2.0777240169404156,1
0,22,1.9824695810916357,1
0,23,1.7441922237901155,1
0,24,1.525755783650688,1
0,25,1.3661792942316269,1
0,26,1.2777012828495022,1
0,27,1.2675231618303857,1
0,28,1.3358839236647255,1
0,29,1.4722484173996468,1
0,30,1.651586130909514,1
0,31,1.8349130454677705,1
0,32,1.9808793533722175,1
0,33,2.0597219508204634,1
0,34,2.05062316573142,1
0,35,1.9499805801601466,1
0,36,1.794115404813162,1
0,37,1.6236219997569523,1
0,38,1.4512465617439338,1
0,39,1.2613340964604434,1
0,40,1.0291337625586146,1
0,41,0.7723586883693028,1
0,42,0.5534685695414495,1
0,43,0.4284501173687864,1
0,44,0.42551031014053803,1
0,45,0.5444240451105995,1
0,46,0.7594338715156509,1
0,47,1.022594050102024,1
0,48,1.2569662420230168,1
0,49,1.3596831333079067,1
0,50,1.3351323112902356,1
0,51,1.2552942777945195,1
0,52,1.1799715341856152,1
0,53,1.1479420741133888,1
0,54,1.14632909838402,1
0,55,1.1589911949993852,1
0,56,1.24094399534819,1
0,57,1.4690719650788948,1
0,58,1.9606773893513432,1
0,59,2.8238086425696376,1
0,60,4.055781516557938,1
0,61,5.634564896910244,1
0,62,7.664054893052663,1
0,63,9.891510633987709,1
0,64,11.852249471365827,1
0,65,13.558759463752887,1
0,66,15.021183035589237,1
0,67,16.15968554550649,1
0,68,16.95329377001243,1
0,69,17.515136179096476,1
0,70,18.047257055678493,1
0,71,18.700029131871386,1
0,72,19.427782144380277,1
0,73,19.854473484980034,1
0,74,19.033971461842423,1
0,75,16.0748149115384,1
0,76,11.833492137061828,1
0,77,6.903008823757926,1
0,78,2.8336087655840827,1
0,79,1.4993955462611097,1
0,80,2.7009077702184165,1
0,81,4.542636940884305,1
0,82,4.7604718191880515,1
0,83,3.2103917136683657,1
0,84,1.4888521238756567,1
0,85,1.6998474469144078,1
0,86,4.503228326103791,1
0,87,9.6440105490613,1
0,88,16.36984781884648,1
0,89,23.608261498174738,1
0,90,30.9400980425264,1
0,91,38.3088534085317,1
0,92,45.233572185614776,1
0,93,51.91669695469265,1
0,94,57.78445750783382,1
0,95,61.16187568099119,1
0,96,61.680246124111214,1
0,97,59.5153403747015,1
0,98,54.53716538727994,1
0,99,46.80688545404946,1
0,100,36.837098159538854,1
1,9,6.106801123467549,1
1,10,5.783317835748024,1
1,11,4.988654993881808,1
1,12,4.025540106811348,1
1,13,2.9904160753823774,1
1,14,1.9464123589522686,1
1,15,1.0596593154124523,1
1,16,0.4219714855279089,1
1,17,0.23352459671804618,1
1,18,0.5282044211802925,1
1,19,1.1122836691880076,1
1,20,1.6229578430896672,1
1,21,1.9137016193743959,1
1,22,2.00326485151565,1
1,23,1.9113498308795487,1
