cycle,time,SD,class
0,9,4200.563506234371,18
0,10,3156.5155078189114,18
0,11,6449.778081165976,18
0,12,9038.51167675814,18
0,13,10771.088448821225,18
0,14,11540.328751804382,18
0,15,11331.610928925682,18
0,16,10088.112298206035,18
0,17,7819.7821245532205,18
0,18,4608.042784998107,18
0,19,326.9001222173937,18
0,20,227.85064833042256,18
0,21,408.30719088004486,18
0,22,540.611844448751,18
0,23,620.5916820087731,18
0,24,647.3974663787053,18
0,25,615.9885835459671,18
0,26,540.9676961618335,18
0,27,415.41587538000357,18
0,28,234.45320029727216,18
0,29,3.8579435047947395,18
0,30,229.23741313402095,18
0,31,426.46881035493044,18
0,32,554.450232809557,18
0,33,625.0919428500694,18
0,34,647.996330499604,18
0,35,622.2822302263809,18
0,36,543.3109837864434,18
0,37,406.9478334022613,18
0,38,229.2296046085843,18
0,39,4.1920745072790515,18
0,40,215.9233411999506,18
0,41,397.88459819426026,18
0,42,526.0977845471448,18
0,43,611.2221971989858,18
0,44,639.0070408427744,18
0,45,617.2047350326117,18
0,46,538.7222124405905,18
0,47,423.8502517246636,18
0,48,241.40142919928667,18
0,49,2.186876435041116,18
0,50,56.35534590898884,18
0,51,100.87036349556143,18
0,52,134.32396572419418,18
0,53,150.833428906576,18
0,54,155.6890000534833,18
0,55,152.53486633061252,18
0,56,134.57218502892363,18
0,57,103.25273634187401,18
0,58,55.301970459672795,18
0,59,0.7598565419402024,18
1,9,3572.215101093189,18
1,10,2466.2323104432116,18
1,11,6196.756979712243,18
1,12,9024.396959613727,18
1,13,10843.2166703947,18
1,14,11651.411064332025,18
1,15,11437.171875310476,18
1,16,10209.977152139496,18
1,17,7947.210472654,18
1,18,4668.090443028467,18
1,19,344.3263648882729,18
1,20,229.82973672556722,18
1,21,407.86120085096735,18
1,22,530.5226615293844,18
1,23,606.9890691410844,18
1,24,629.270058421289,18
1,25,608.3051305908159,18
1,26,527.0506355046634,18
1,27,403.66473042579247,18
1,28,232.96400183456095,18
1,29,4.184213892819317,18
1,30,255.80755507922296,18
1,31,432.91316071651903,18
1,32,551.7148537756051,18
1,33,627.2791941926644,18
1,34,648.8886652881134,18
1,35,629.5425513497164,18
1,36,548.3514375392951,18
1,37,427.52511571195714,18
1,38,243.958857960488,18
1,39,4.298264555426713,18
1,40,213.78023332676574,18
1,41,398.8273244393977,18
1,42,534.1862266658027,18
1,43,624.5160890385152,18
1,44,656.3928764684308,18
1,45,630.5957631887676,18
1,46,557.1726373473103,18
1,47,421.61227535309905,18
1,48,237.47730664214492,18
1,49,2.4351114471556086,18
1,50,56.69185218433404,18
1,51,103.7296483627342,18
1,52,136.7162359177392,18
1,53,156.01715916869503,18
1,54,163.34083058281587,18
1,55,156.51707267481603,18
1,56,139.94084106266752,18
1,57,108.86269265437932,18
1,58,63.14289606273197,18
1,59,0.6024346385642005,18
2,9,3597.2139229902173,18
2,10,2489.3623214304116,18
2,11,6297.893219343325,18
2,12,9054.967243955538,18
2,13,10892.028796372946,18
2,14,11652.28022416973,18
2,15,11470.0188490963,18
2,16,10202.30311685812,18
2,17,7971.219548550623,18
2,18,4719.850244496441,18
2,19,344.08672159938834,18
2,20,236.29743846610936,18
2,21,399.9686888261814,18
2,22,531.8131428429225,18
2,23,604.3016135339269,18
2,24,641.039996308324,18
2,25,611.5162855622658,18
2,26,541.0468524400513,18
2,27,412.709881400356,18
2,28,235.38856297286915,18
2,29,4.196827783107405,18
2,30,255.6506652219913,18
2,31,441.6344430026638,18
2,32,572.5718237100895,18
2,33,654.6342288714535,18
2,34,682.5776539047368,18
2,35,657.0348827903108,18
2,36,570.8961604192293,18
2,37,433.59984695820486,18
2,38,240.82188048700587,18
2,39,3.934720481397777,18
2,40,231.25469817538882,18
2,41,418.2657914877261,18
2,42,559.3549830860895,18
2,43,647.9064389093189,18
2,44,679.5486875436092,18
2,45,649.3690962836631,18
2,46,573.1495892483566,18
2,47,434.93532829791235,18
2,48,244.91799483738123,18
2,49,1.9684405341938438,18
2,50,52.7610218136712,18
2,51,102.06656630953881,18
2,52,137.90126471532542,18
2,53,159.21713118131444,18
2,54,167.53430864445042,18
2,55,159.43349665533077,18
2,56,138.91860953969314,18
2,57,105.48018896829711,18
2,58,59.775390682031954,18
2,59,0.8817255236631216,18
3,9,3680.572394893404,18
3,10,2497.5686415720497,18
3,11,6288.479224771552,18
3,12,9076.615855977603,18
3,13,10865.023114907179,18
3,14,11705.94814823883,18
3,15,11456.023607207753,18
3,16,10233.640068298326,18
3,17,7987.726039215197,18
3,18,4693.2323275427325,18
3,19,342.44467569044076,18
3,20,221.79439209642206,18
3,21,386.4752376889126,18
3,22,516.3729319991256,18
3,23,596.9200461879706,18
3,24,622.462939131822,18
3,25,602.8003715559881,18
3,26,533.3381943677712,18
3,27,408.1418101045583,18
3,28,227.04049535112284,18
3,29,3.847517754378944,18
3,30,241.28983934680633,18
3,31,422.52532621443265,18
3,32,559.4093083698737,18
3,33,641.9421021821097,18
3,34,674.5719218788814,18
3,35,644.0359004085673,18
3,36,559.6060611024312,18
3,37,428.7224387863649,18
3,38,245.45189288109134,18
3,39,3.829581939011041,18
3,40,229.3647288058084,18
3,41,427.0633036778659,18
3,42,563.2394157849498,18
3,43,644.5206863476573,18
3,44,670.781869217735,18
3,45,646.1680530647466,18
3,46,568.1047202937264,18
3,47,429.9146605562835,18
3,48,233.5003774152577,18
3,49,2.0377961576027173,18
3,50,52.99618767198608,18
3,51,98.3023506719681,18
3,52,128.19052726343088,18
3,53,148.42535795318733,18
3,54,159.46797764698402,18
3,55,156.59755890292396,18
3,56,137.29008777897894,18
3,57,106.5236405330493,18
3,58,64.07956574821544,18
3,59,1.624881692860466,18
4,9,3741.470235069722,18
4,10,2441.2736668733646,18
4,11,6262.680574222472,18
4,12,9104.083232753359,18
4,13,10945.363774929236,18
4,14,11779.328131424547,18
4,15,11543.318437614827,18
4,16,10306.130347245902,18
4,17,8050.643694491178,18
4,18,4766.731392727021,18
4,19,371.2164548599448,18
4,20,239.95806074449902,18
4,21,412.8552344865554,18
4,22,543.9994549555195,18
4,23,621.3994388453077,18
4,24,647.0549633060075,18
4,25,626.6051322814001,18
4,26,554.4955917155402,18
4,27,422.76111029484224,18
4,28,242.42370917068493,18
4,29,4.617845957438035,18
4,30,241.8265935143296,18
4,31,424.7550863391664,18
4,32,553.3633943241201,18
4,33,630.1696283889261,18
4,34,656.321344073033,18
4,35,630.4312438307202,18
4,36,551.9827908179991,18
4,37,422.15248560941137,18
4,38,247.4650715079735,18
4,39,4.1975862380390145,18
4,40,219.22630056986873,18
4,41,420.29782734056937,18
4,42,552.2453185825865,18
4,43,638.187177098455,18
4,44,668.4920173610192,18
4,45,643.6372226274299,18
4,46,566.2244177257351,18
4,47,426.42599252117446,18
4,48,236.77572149601056,18
4,49,2.6220978315262613,18
4,50,54.016221988785794,18
4,51,102.90175453389432,18
4,52,137.69042010938992,18
4,53,159.88672131487016,18
4,54,165.24990487964448,18
4,55,158.23844701530345,18
4,56,137.1865988763302,18
4,57,104.20601969597206,18
4,58,55.54218130844777,18
4,59,0.6957814924835055,18
5,9,3746.8112120984306,18
5,10,2465.947984202735,18
5,11,6313.394832907588,18
5,12,9061.103262957444,18
5,13,10919.068894841168,18
5,14,11726.011828023858,18
5,15,11504.277542448956,18
5,16,10290.920387681332,18
5,17,7982.673063867665,18
5,18,4711.34958166238,18
5,19,358.69665520478753,18
5,20,230.4524283698726,18
5,21,411.03047283419073,18
5,22,553.5345673154701,18
5,23,626.07115291869,18
5,24,654.1223514359061,18
5,25,631.7767511121178,18
5,26,553.3465551026903,18
5,27,443.5551207459404,18
5,28,246.61501063401167,18
5,29,4.799718842919479,18
5,30,222.7810446461721,18
5,31,404.6252831212283,18
5,32,539.0626345123732,18
5,33,617.9295599050855,18
5,34,649.1229354208127,18
5,35,617.6852759570181,18
5,36,543.6024971979534,18
5,37,410.3723417190603,18
5,38,231.52319866940385,18
5,39,4.113672715268758,18
5,40,218.7343953075835,18
5,41,407.22854182739803,18
5,42,548.3026103433444,18
5,43,630.2026390034814,18
5,44,657.8249530705582,18
5,45,645.2166185825712,18
5,46,571.8120312654069,18
5,47,438.9899938169786,18
5,48,250.49136421691676,18
5,49,2.471621383139724,18
5,50,56.9923236433477,18
5,51,104.2737531155279,18
5,52,141.1005814864984,18
5,53,158.05372662024783,18
5,54,166.76666146879614,18
5,55,162.2595317236837,18
5,56,142.51340105229895,18
5,57,109.68949851647479,18
5,58,59.919432708314524,18
5,59,0.8593740797830566,18
6,9,3695.385096779295,18
6,10,2437.2780290853616,18
6,11,6259.572715673953,18
6,12,9134.331568976242,18
6,13,10991.604142992172,18
6,14,11880.458068998456,18
6,15,11663.721782537712,18
6,16,10464.983787767282,18
6,17,8177.323502390709,18
6,18,4876.477267834201,18
6,19,396.4840089088774,18
6,20,240.63772895712174,18
6,21,420.12461780360684,18
6,22,556.8254288961954,18
6,23,642.1840978879853,18
6,24,667.1473121724378,18
6,25,651.2839664640798,18
6,26,570.2142712348078,18
6,27,441.03433524683,18
6,28,244.194752430904,18
6,29,4.584187928569249,18
6,30,245.34201670961903,18
6,31,437.1102325838702,18
6,32,563.4344453404614,18
6,33,652.4616983170721,18
6,34,687.6276861765244,18
6,35,660.1972201162617,18
6,36,583.4435436839186,18
6,37,442.8118895164171,18
6,38,247.2599472643925,18
6,39,4.3513003961656755,18
6,40,231.22758689504948,18
6,41,417.4987170774274,18
6,42,567.5792964082336,18
6,43,652.344084589074,18
6,44,682.3597419715285,18
6,45,663.1390453135864,18
6,46,576.9024057578497,18
6,47,439.22916186780634,18
6,48,240.9714908143275,18
6,49,2.238900989501788,18
6,50,55.34829927737143,18
6,51,106.4801555073765,18
6,52,143.81259247655228,18
6,53,165.99862904420615,18
6,54,175.29922795550712,18
