Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.30434782608695654,0.3564814814814815,,0.26646903820816864,0.4438297748565674
BaggingClassifier,0.2391304347826087,0.3240740740740741,,0.22010163749294184,5.137097120285034
LGBMClassifier,0.2391304347826087,0.2675925925925926,,0.22370600414078676,15.515920877456665
NearestCentroid,0.2608695652173913,0.25925925925925924,,0.16328502415458937,0.20243453979492188
DecisionTreeClassifier,0.2608695652173913,0.2555555555555556,,0.24616977225672879,0.8085999488830566
RandomForestClassifier,0.17391304347826086,0.23148148148148145,,0.10289855072463769,0.9027628898620605
XGBClassifier,0.1956521739130435,0.22407407407407406,,0.1974120082815735,27.75070571899414
SVC,0.10869565217391304,0.2222222222222222,,0.04837553750597229,0.2861034870147705
GaussianNB,0.1956521739130435,0.19629629629629627,,0.17769151138716358,0.24331283569335938
ExtraTreeClassifier,0.15217391304347827,0.18240740740740743,,0.15690131124913734,0.16946077346801758
KNeighborsClassifier,0.15217391304347827,0.17777777777777778,,0.11413043478260869,0.22640299797058105
QuadraticDiscriminantAnalysis,0.13043478260869565,0.1425925925925926,,0.09517517151788253,0.262592077255249
LinearDiscriminantAnalysis,0.17391304347826086,0.11388888888888887,,0.14297658862876256,0.2704026699066162
RidgeClassifier,0.06521739130434782,0.1111111111111111,,0.03597308488612837,0.18475008010864258
LogisticRegression,0.06521739130434782,0.10185185185185185,,0.04871175523349436,2.132734775543213
BernoulliNB,0.06521739130434782,0.09722222222222222,,0.06488294314381271,0.20734262466430664
PassiveAggressiveClassifier,0.06521739130434782,0.09722222222222222,,0.053282182438192674,1.6893196105957031
RidgeClassifierCV,0.043478260869565216,0.08333333333333333,,0.023411371237458192,0.21385979652404785
LinearSVC,0.043478260869565216,0.08333333333333333,,0.02309782608695652,48.91931390762329
SGDClassifier,0.10869565217391304,0.07407407407407407,,0.04806763285024155,0.7795588970184326
Perceptron,0.06521739130434782,0.05555555555555555,,0.008893280632411066,0.6851072311401367
CalibratedClassifierCV,0.021739130434782608,0.05555555555555555,,0.0011441647597254005,189.0719289779663
AdaBoostClassifier,0.021739130434782608,0.05555555555555555,,0.0009661835748792271,7.550230264663696
LabelSpreading,0.043478260869565216,0.046296296296296294,,0.02795031055900621,0.20120882987976074
LabelPropagation,0.043478260869565216,0.046296296296296294,,0.021739130434782608,0.23110103607177734
DummyClassifier,0.0,0.0,,0.0,0.16295170783996582
