Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
RandomForestClassifier,0.2826086956521739,0.3657407407407407,,0.2464975845410628,0.9698600769042969
ExtraTreesClassifier,0.30434782608695654,0.3425925925925926,,0.28405797101449276,0.5395081043243408
NearestCentroid,0.30434782608695654,0.2972222222222222,,0.2191919191919192,0.2047748565673828
AdaBoostClassifier,0.15217391304347827,0.22407407407407406,,0.1287577639751553,7.942373037338257
SVC,0.10869565217391304,0.2222222222222222,,0.054172638955247654,0.288010835647583
DecisionTreeClassifier,0.2391304347826087,0.1787037037037037,,0.22687747035573125,1.1725809574127197
KNeighborsClassifier,0.15217391304347827,0.17777777777777778,,0.1124788255223038,0.3987252712249756
QuadraticDiscriminantAnalysis,0.17391304347826086,0.1611111111111111,,0.16429367733715558,0.2680020332336426
BaggingClassifier,0.13043478260869565,0.1574074074074074,,0.12008281573498965,5.748089790344238
LinearDiscriminantAnalysis,0.15217391304347827,0.14444444444444446,,0.1440711462450593,0.3701817989349365
ExtraTreeClassifier,0.13043478260869565,0.14074074074074075,,0.14337474120082816,0.21678733825683594
GaussianNB,0.15217391304347827,0.14074074074074072,,0.15005175983436853,0.26787877082824707
XGBClassifier,0.10869565217391304,0.13425925925925924,,0.10740165631469979,32.74937725067139
RidgeClassifier,0.06521739130434782,0.1111111111111111,,0.03597308488612837,0.21036863327026367
LGBMClassifier,0.10869565217391304,0.1037037037037037,,0.09782608695652174,19.734933137893677
PassiveAggressiveClassifier,0.10869565217391304,0.09722222222222222,,0.057208237986270026,1.611741304397583
LogisticRegression,0.043478260869565216,0.08333333333333333,,0.018890554722638682,2.371255874633789
RidgeClassifierCV,0.043478260869565216,0.08333333333333333,,0.019001610305958132,0.22686433792114258
LinearSVC,0.13043478260869565,0.08333333333333333,,0.05370843989769821,53.87545204162598
SGDClassifier,0.06521739130434782,0.07407407407407407,,0.03718535469107551,0.8136005401611328
Perceptron,0.08695652173913043,0.06018518518518518,,0.04474216380182002,0.7476272583007812
CalibratedClassifierCV,0.021739130434782608,0.05555555555555555,,0.001207729468599034,213.77613615989685
BernoulliNB,0.021739130434782608,0.05555555555555555,,0.0010869565217391304,0.23050379753112793
LabelSpreading,0.043478260869565216,0.046296296296296294,,0.021739130434782608,0.2509932518005371
LabelPropagation,0.043478260869565216,0.046296296296296294,,0.02380952380952381,0.26135802268981934
DummyClassifier,0.0,0.0,,0.0,0.204268217086792
