Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NuSVC,0.9888888888888889,0.9885057471264368,,0.9888743417415845,0.015016555786132812
LogisticRegression,0.9888888888888889,0.9885057471264368,,0.9888743417415845,0.01967144012451172
LinearDiscriminantAnalysis,0.9777777777777777,0.9784047370254267,,0.9777777777777777,0.019115447998046875
SVC,0.9777777777777777,0.9770114942528735,,0.9777077497665734,0.012000083923339844
ExtraTreesClassifier,0.9777777777777777,0.9770114942528735,,0.9777077497665734,0.09788036346435547
RidgeClassifierCV,0.9777777777777777,0.9770114942528735,,0.9777077497665734,0.013539552688598633
RidgeClassifier,0.9777777777777777,0.9770114942528735,,0.9777077497665734,0.012424707412719727
LGBMClassifier,0.9666666666666667,0.9669104841518634,,0.9666230252247535,0.3209524154663086
SGDClassifier,0.9666666666666667,0.9669104841518634,,0.9666230252247535,0.013054132461547852
CalibratedClassifierCV,0.9666666666666667,0.9655172413793104,,0.966223636259663,0.0995798110961914
XGBClassifier,0.9555555555555556,0.9582027168234065,,0.9556018518518518,0.1769733428955078
BernoulliNB,0.9555555555555556,0.9554162312783002,,0.9554154995331466,0.021999359130859375
KNeighborsClassifier,0.9555555555555556,0.9540229885057471,,0.9551793062904174,0.04256129264831543
GaussianNB,0.9444444444444444,0.9467084639498432,,0.9444879038099376,0.007986307144165039
RandomForestClassifier,0.9444444444444444,0.9467084639498432,,0.9444879038099376,0.2079296112060547
PassiveAggressiveClassifier,0.9333333333333333,0.9338209683037269,,0.9327339045135656,0.015703439712524414
LinearSVC,0.9333333333333333,0.9338209683037269,,0.9327339045135656,0.025887250900268555
NearestCentroid,0.9333333333333333,0.9338209683037269,,0.9326549167279725,0.010995626449584961
Perceptron,0.9222222222222223,0.9237199582027168,,0.9216929741963195,0.012585163116455078
DecisionTreeClassifier,0.9,0.9058939145146042,,0.8997222222222222,0.011990070343017578
BaggingClassifier,0.8888888888888888,0.8930064188684878,,0.8899911557976075,0.058377981185913086
LabelSpreading,0.8555555555555555,0.8561476837338907,,0.8585452756761112,0.011000394821166992
LabelPropagation,0.8555555555555555,0.8561476837338907,,0.8585452756761112,0.012920379638671875
ExtraTreeClassifier,0.7777777777777778,0.781012091356919,,0.7812040721839869,0.008915185928344727
AdaBoostClassifier,0.7,0.7236652236652237,,0.6625471893063157,0.17004036903381348
QuadraticDiscriminantAnalysis,0.5222222222222223,0.5204881325570981,,0.5252353104984684,0.013060808181762695
DummyClassifier,0.3111111111111111,0.3333333333333333,,0.14764595103578154,0.00800323486328125
