Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LinearDiscriminantAnalysis,1.0,1.0,,1.0,0.013145208358764648
NuSVC,0.9888888888888889,0.9885057471264368,,0.9888743417415845,0.021509885787963867
LogisticRegression,0.9888888888888889,0.9885057471264368,,0.9888743417415845,0.028932809829711914
SVC,0.9888888888888889,0.9885057471264368,,0.9888743417415845,0.014310359954833984
ExtraTreesClassifier,0.9777777777777777,0.9770114942528735,,0.9777077497665734,0.10209298133850098
RidgeClassifier,0.9777777777777777,0.9770114942528735,,0.9777077497665734,0.010085582733154297
RidgeClassifierCV,0.9777777777777777,0.9770114942528735,,0.9777077497665734,0.011018753051757812
LGBMClassifier,0.9777777777777777,0.9770114942528735,,0.9777077497665734,0.16654396057128906
SGDClassifier,0.9777777777777777,0.9770114942528735,,0.9777077497665734,0.010675191879272461
XGBClassifier,0.9666666666666667,0.9683037269244167,,0.9666927422859626,0.15846562385559082
KNeighborsClassifier,0.9666666666666667,0.9655172413793104,,0.9664822134387352,0.03905916213989258
CalibratedClassifierCV,0.9666666666666667,0.9655172413793104,,0.966223636259663,0.10598087310791016
BernoulliNB,0.9555555555555556,0.9554162312783002,,0.9554154995331466,0.009015560150146484
Perceptron,0.9444444444444444,0.9481017067223965,,0.9444878133402723,0.012048006057739258
RandomForestClassifier,0.9444444444444444,0.9467084639498432,,0.9444879038099376,0.20394039154052734
GaussianNB,0.9444444444444444,0.9467084639498432,,0.9444879038099376,0.009535789489746094
PassiveAggressiveClassifier,0.9333333333333333,0.9338209683037269,,0.9327339045135656,0.016052961349487305
LinearSVC,0.9333333333333333,0.9338209683037269,,0.9327339045135656,0.033794403076171875
NearestCentroid,0.9333333333333333,0.9338209683037269,,0.9326549167279725,0.013077735900878906
BaggingClassifier,0.9,0.9035179380006966,,0.9000782268578879,0.06437873840332031
DecisionTreeClassifier,0.9,0.9017141861969448,,0.8996101364522417,0.014903783798217773
ExtraTreeClassifier,0.8666666666666667,0.8700179131213615,,0.8671527777777778,0.009002923965454102
LabelSpreading,0.8555555555555555,0.8561476837338907,,0.8585452756761112,0.016524076461791992
LabelPropagation,0.8555555555555555,0.8561476837338907,,0.8585452756761112,0.014948844909667969
QuadraticDiscriminantAnalysis,0.6222222222222222,0.6221326566154152,,0.61867356506597,0.013913393020629883
AdaBoostClassifier,0.5777777777777777,0.6071428571428571,,0.4688389312636603,0.19193339347839355
DummyClassifier,0.3111111111111111,0.3333333333333333,,0.14764595103578154,0.008000373840332031
