Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
RandomForestClassifier,0.6717557251908397,0.5888202649480845,,0.6520358179031539,6.000117778778076
ExtraTreesClassifier,0.6564885496183206,0.5598680141913224,,0.634736450735183,1.0382790565490723
BaggingClassifier,0.6091603053435114,0.52163200208313,,0.5912565326327861,4.724729061126709
XGBClassifier,0.5954198473282443,0.50680516225629,,0.5825517427335466,8.373409271240234
GaussianNB,0.5679389312977099,0.48729005956449567,,0.5594127526786007,0.04096698760986328
DecisionTreeClassifier,0.5572519083969466,0.4632547277284119,,0.5457796465027774,0.6991729736328125
LabelSpreading,0.5587786259541985,0.44508959086026756,,0.5245446344473208,0.3634464740753174
LabelPropagation,0.5557251908396946,0.44130171207238883,,0.5214033549148053,0.18431377410888672
KNeighborsClassifier,0.5282442748091603,0.40673965758552216,,0.49276927075181504,0.08110404014587402
LinearDiscriminantAnalysis,0.5114503816793893,0.3955578882270611,,0.48525387829241856,0.030390262603759766
NearestCentroid,0.366412213740458,0.3240760179669954,,0.3516276187953174,0.022246122360229492
LinearSVC,0.4259541984732824,0.282935422973017,,0.33641827880211467,5.7850775718688965
ExtraTreeClassifier,0.383206106870229,0.24915250789310936,,0.3765535800817287,0.02242445945739746
CalibratedClassifierCV,0.3969465648854962,0.24684234937994337,,0.29224186959990495,25.28513240814209
LogisticRegression,0.38625954198473283,0.24152385834716658,,0.2918140558217576,0.8048267364501953
LGBMClassifier,0.15877862595419848,0.13209444064707224,,0.1332806839829133,11.297146797180176
Perceptron,0.28549618320610687,0.10136095107899619,,0.21680914977403162,0.32450222969055176
BernoulliNB,0.27633587786259545,0.0966006737623279,,0.1874856175627044,0.0200347900390625
PassiveAggressiveClassifier,0.29465648854961835,0.08665779709012791,,0.21469887726214149,0.4062933921813965
SGDClassifier,0.2824427480916031,0.08371090062819388,,0.20811819271401424,0.6073830127716064
SVC,0.26106870229007634,0.06971446473326173,,0.1720713505191381,0.5903785228729248
RidgeClassifierCV,0.28091603053435116,0.06750195293428375,,0.14049777226295082,0.04396176338195801
RidgeClassifier,0.2778625954198473,0.053977476157927286,,0.1362683095835178,0.02848982810974121
AdaBoostClassifier,0.17251908396946564,0.02064821143768512,,0.07435552863597047,4.001361846923828
QuadraticDiscriminantAnalysis,0.2580152671755725,0.019036226930963775,,0.1236760161828292,0.05362892150878906
DummyClassifier,0.08549618320610687,0.006493506493506494,,0.013467753191397987,0.01837015151977539
