Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.6748091603053435,0.5807033818312014,,0.6529802826961378,1.1550562381744385
RandomForestClassifier,0.6595419847328244,0.568939800800703,,0.6397402130146644,6.04611873626709
BaggingClassifier,0.5969465648854961,0.5107496826481789,,0.5834104205234742,4.371945858001709
XGBClassifier,0.5984732824427481,0.5028992936887674,,0.5843202825345235,9.30439305305481
GaussianNB,0.5603053435114503,0.4807790580346972,,0.5420527653047518,0.04166221618652344
LabelPropagation,0.5419847328244275,0.41736646811834793,,0.515139612294223,0.19019436836242676
LabelSpreading,0.5389312977099237,0.4136713537089477,,0.5042353028514073,0.3964095115661621
LGBMClassifier,0.5312977099236641,0.40793949158610815,,0.5092812930845358,19.36617612838745
KNeighborsClassifier,0.5053435114503817,0.3895937082967158,,0.46598985428134687,0.0819251537322998
DecisionTreeClassifier,0.49923664122137407,0.3737330338834098,,0.4794107475227041,0.682544469833374
LinearDiscriminantAnalysis,0.4763358778625954,0.35104604042573967,,0.45922489982523623,0.03527188301086426
NearestCentroid,0.37251908396946565,0.3159090909090909,,0.36564502972716045,0.026067018508911133
ExtraTreeClassifier,0.42748091603053434,0.30798628063665656,,0.4260529233550258,0.03051447868347168
LinearSVC,0.42748091603053434,0.29792460046219443,,0.34604911233030317,7.001777648925781
CalibratedClassifierCV,0.3709923664122137,0.222491700029294,,0.2554040117380036,36.329033851623535
LogisticRegression,0.366412213740458,0.2042016567392507,,0.2672499745329362,0.8877832889556885
BernoulliNB,0.2870229007633588,0.10634866386746086,,0.1953529645890699,0.020595788955688477
SVC,0.2748091603053435,0.08286015363083032,,0.17608947316784251,0.6423113346099854
Perceptron,0.19541984732824427,0.0759361878722781,,0.16365386732940318,0.3334062099456787
PassiveAggressiveClassifier,0.24427480916030533,0.07478029489307685,,0.22022871729145052,0.4451119899749756
SGDClassifier,0.2778625954198473,0.0580635842853888,,0.19419913094942995,0.6128659248352051
RidgeClassifier,0.27022900763358776,0.04109095791426618,,0.12865843917640016,0.021538257598876953
RidgeClassifierCV,0.27022900763358776,0.04109095791426618,,0.12865843917640016,0.04317951202392578
QuadraticDiscriminantAnalysis,0.26259541984732826,0.019366598313966733,,0.14835800934864496,0.04833984375
AdaBoostClassifier,0.1618320610687023,0.019268951599778667,,0.0848615263450369,3.9359664916992188
DummyClassifier,0.08549618320610687,0.006493506493506494,,0.013467753191397987,0.010273218154907227
