Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NuSVC,0.782608695652174,0.8166666666666667,,0.7973084886128364,0.01952648162841797
SVC,0.7391304347826086,0.7833333333333333,,0.7563146997929607,0.015111446380615234
GaussianNB,0.7391304347826086,0.7666666666666666,,0.7395560960778352,0.04355978965759277
BernoulliNB,0.6521739130434783,0.7266666666666666,,0.6204278812974465,0.029402494430541992
NearestCentroid,0.6521739130434783,0.6666666666666667,,0.5587395696091348,0.019021034240722656
BaggingClassifier,0.6086956521739131,0.6333333333333333,,0.5507246376811594,0.11203718185424805
LGBMClassifier,0.6956521739130435,0.6166666666666667,,0.6956521739130433,0.45087099075317383
ExtraTreesClassifier,0.6086956521739131,0.6166666666666667,,0.5700483091787439,0.20429039001464844
RandomForestClassifier,0.6086956521739131,0.61,,0.6015810276679842,0.203141450881958
LogisticRegression,0.6521739130434783,0.6,,0.6159420289855071,0.06280255317687988
SGDClassifier,0.5652173913043478,0.5833333333333334,,0.5315264445699228,0.023602962493896484
XGBClassifier,0.5217391304347826,0.5333333333333334,,0.4933110367892976,0.22212958335876465
LinearDiscriminantAnalysis,0.6086956521739131,0.5333333333333334,,0.6123007427355254,0.029988765716552734
Perceptron,0.4782608695652174,0.5033333333333333,,0.46640316205533594,0.03239154815673828
PassiveAggressiveClassifier,0.4782608695652174,0.4966666666666666,,0.4606625258799172,0.032996177673339844
LinearSVC,0.4782608695652174,0.4966666666666666,,0.4606625258799172,0.36670517921447754
KNeighborsClassifier,0.4782608695652174,0.44000000000000006,,0.3631590002100399,0.06690263748168945
RidgeClassifierCV,0.391304347826087,0.42333333333333334,,0.33049161693662976,0.03223466873168945
DecisionTreeClassifier,0.391304347826087,0.42333333333333334,,0.38854382332643206,0.049970149993896484
RidgeClassifier,0.34782608695652173,0.3733333333333333,,0.2952949295660293,0.030903339385986328
ExtraTreeClassifier,0.391304347826087,0.35333333333333333,,0.37628458498023715,0.020419836044311523
QuadraticDiscriminantAnalysis,0.30434782608695654,0.33999999999999997,,0.33344481605351173,0.0261228084564209
LabelSpreading,0.34782608695652173,0.3,,0.23188405797101452,0.022112369537353516
LabelPropagation,0.34782608695652173,0.3,,0.23188405797101452,0.030776023864746094
CalibratedClassifierCV,0.17391304347826086,0.27999999999999997,,0.12700228832951946,1.5582799911499023
AdaBoostClassifier,0.2608695652173913,0.25,,0.18584825234441602,0.27888917922973633
DummyClassifier,0.08695652173913043,0.2,,0.01391304347826087,0.024810791015625
