Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,0.5983263598326359,0.6113838068322673,,0.5637216008659334,16.068146228790283
SVC,0.5732217573221757,0.5784976944816301,,0.524318269393152,1.425889492034912
NearestCentroid,0.5104602510460251,0.5114661113590163,,0.4776509523113798,0.2561342716217041
NuSVC,0.4811715481171548,0.48243343745351774,,0.43490698873574596,1.586132526397705
Perceptron,0.4686192468619247,0.46770786851108137,,0.47675319332912625,0.4426229000091553
BernoulliNB,0.4560669456066946,0.45483861371411577,,0.43955891272380837,0.3328437805175781
CalibratedClassifierCV,0.46443514644351463,0.4547632505329962,,0.4310652328634088,82.22645497322083
KNeighborsClassifier,0.4393305439330544,0.4430541920769498,,0.4412839953860027,0.3868892192840576
PassiveAggressiveClassifier,0.4351464435146444,0.4378561158213099,,0.4222366896999498,0.956657886505127
SGDClassifier,0.4225941422594142,0.4273548515047845,,0.4121043500679446,0.6949770450592041
LGBMClassifier,0.41841004184100417,0.42202191481977297,,0.40508817990636237,32.67635989189148
BaggingClassifier,0.41841004184100417,0.41958252764142995,,0.41930259608083875,12.457805156707764
XGBClassifier,0.41422594142259417,0.4170499281074917,,0.40624149906289414,67.73077917098999
RandomForestClassifier,0.4100418410041841,0.41336308195745947,,0.4005142693722277,4.003194808959961
ExtraTreesClassifier,0.4100418410041841,0.4125063215826268,,0.40359378434798554,2.824843406677246
LogisticRegression,0.40585774058577406,0.4086528831374882,,0.4113103440347437,0.7072439193725586
ExtraTreeClassifier,0.38493723849372385,0.38418959789776386,,0.39495781134328845,0.2686748504638672
LinearSVC,0.3807531380753138,0.38350141305964597,,0.3840082097919252,21.955678939819336
DecisionTreeClassifier,0.37656903765690375,0.3770459616242749,,0.3896480528389662,3.1095879077911377
GaussianNB,0.35564853556485354,0.3710268233427538,,0.28240112943947326,0.3059117794036865
RidgeClassifierCV,0.36401673640167365,0.3671396697902722,,0.369288509128337,0.34782934188842773
RidgeClassifier,0.33472803347280333,0.33714710694630373,,0.3426851782756547,0.3670766353607178
DummyClassifier,0.3389121338912134,0.3333333333333333,,0.1715742677824268,0.23994207382202148
LinearDiscriminantAnalysis,0.30962343096234307,0.312094798948882,,0.31332275765997286,1.2737419605255127
QuadraticDiscriminantAnalysis,0.28870292887029286,0.28845654221825573,,0.29890656396382004,0.47471022605895996
LabelSpreading,0.15481171548117154,0.15189052506321582,,0.130038470744028,0.31723642349243164
LabelPropagation,0.15481171548117154,0.15189052506321582,,0.130038470744028,0.34898996353149414
