Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
SVC,0.5732217573221757,0.5784976944816301,,0.524318269393152,1.3039228916168213
NearestCentroid,0.5104602510460251,0.5114661113590163,,0.4776509523113798,0.26329827308654785
AdaBoostClassifier,0.4811715481171548,0.4951658485795032,,0.4238015236670964,13.0026216506958
NuSVC,0.4811715481171548,0.48243343745351774,,0.43490698873574596,1.4915122985839844
Perceptron,0.46443514644351463,0.46655957161981254,,0.4691997269421702,0.37657690048217773
BernoulliNB,0.4560669456066946,0.4552669939015321,,0.43917833594569733,0.27369189262390137
CalibratedClassifierCV,0.4560669456066946,0.44481927710843366,,0.40706005160454306,73.88012886047363
SGDClassifier,0.4393305439330544,0.4427289404531707,,0.42392158939737123,0.6283924579620361
KNeighborsClassifier,0.4309623430962343,0.43396697902722003,,0.43710207427475445,0.4155569076538086
XGBClassifier,0.41841004184100417,0.4207367742575239,,0.41000540384911743,65.97027063369751
LogisticRegression,0.41422594142259417,0.41721255391938117,,0.41824204386965896,0.6784045696258545
LGBMClassifier,0.41422594142259417,0.4170499281074917,,0.4056411204585873,31.39607071876526
RandomForestClassifier,0.4100418410041841,0.4137914621448758,,0.39873116721355506,3.4607200622558594
BaggingClassifier,0.4100418410041841,0.4135931379840349,,0.40474551136062703,9.796856880187988
ExtraTreesClassifier,0.4100418410041841,0.4130338638504636,,0.400042774519762,2.7921693325042725
PassiveAggressiveClassifier,0.3891213389121339,0.39268778818979627,,0.3855904064747103,0.792095422744751
DecisionTreeClassifier,0.3807531380753138,0.3813595121225643,,0.39005728405386075,3.356405019760132
GaussianNB,0.3598326359832636,0.37514204968020226,,0.28980270230042837,0.29965829849243164
ExtraTreeClassifier,0.3682008368200837,0.3687163468689573,,0.38397960508915663,0.2555859088897705
RidgeClassifierCV,0.3598326359832636,0.3635519857206604,,0.3627611382551468,0.34587931632995605
LinearSVC,0.3598326359832636,0.36269522534582777,,0.36489730672460213,20.086811780929565
RidgeClassifier,0.3389121338912134,0.34159155139074815,,0.34765228894031863,0.312286376953125
DummyClassifier,0.3389121338912134,0.3333333333333333,,0.1715742677824268,0.22827386856079102
LinearDiscriminantAnalysis,0.3263598326359833,0.3283573801378353,,0.3327417856919026,1.324845552444458
QuadraticDiscriminantAnalysis,0.2803347280334728,0.2825980465070157,,0.2900619213254692,0.43587279319763184
LabelSpreading,0.16317991631799164,0.16087857603252517,,0.14431042541487005,0.31456518173217773
LabelPropagation,0.16317991631799164,0.16087857603252517,,0.14431042541487005,0.32552218437194824
