Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LGBMClassifier,0.6373626373626373,0.6393077803203661,,0.635672020287405,0.22879815101623535
XGBClassifier,0.5824175824175825,0.5929185736079328,,0.5587510901796615,0.21124768257141113
RandomForestClassifier,0.5494505494505495,0.5554490846681922,,0.5493120855815079,0.21217799186706543
ExtraTreesClassifier,0.5384615384615384,0.5473207475209764,,0.5410435163388977,0.14339375495910645
NuSVC,0.5274725274725275,0.5395728451563692,,0.5179454179454179,0.01872992515563965
LabelPropagation,0.5164835164835165,0.5155949656750571,,0.517089033415564,0.018975019454956055
LabelSpreading,0.5164835164835165,0.5155949656750571,,0.517089033415564,0.013971090316772461
BaggingClassifier,0.5054945054945055,0.5144832189168574,,0.4842065765142689,0.04261922836303711
DecisionTreeClassifier,0.4725274725274725,0.4727574370709382,,0.4570202772760604,0.02050471305847168
KNeighborsClassifier,0.46153846153846156,0.4661803966437833,,0.46363160648874935,0.03383207321166992
SVC,0.45054945054945056,0.4557875667429443,,0.451247773526514,0.017420053482055664
QuadraticDiscriminantAnalysis,0.43956043956043955,0.4356683829138062,,0.4381713914528153,0.013374805450439453
AdaBoostClassifier,0.4065934065934066,0.40757627765064836,,0.40066151378368575,0.11869239807128906
GaussianNB,0.3956043956043956,0.3910726544622426,,0.3946858905505522,0.010796546936035156
ExtraTreeClassifier,0.3956043956043956,0.3904509916094584,,0.3928179098529504,0.008619308471679688
SGDClassifier,0.38461538461538464,0.38602974828375286,,0.3764844442611797,0.02310347557067871
PassiveAggressiveClassifier,0.3956043956043956,0.3786527459954233,,0.3694702733164271,0.014222860336303711
BernoulliNB,0.3626373626373626,0.3610364225781846,,0.35881476917982785,0.014683723449707031
NearestCentroid,0.3626373626373626,0.3606197559115179,,0.36006078960183674,0.010384559631347656
LinearSVC,0.3516483516483517,0.35381388253241797,,0.35492138247240285,0.0882413387298584
LogisticRegression,0.3516483516483517,0.35290808543096874,,0.35559712155456835,0.026792526245117188
RidgeClassifierCV,0.34065934065934067,0.34564931350114414,,0.351953721953722,0.010081052780151367
RidgeClassifier,0.31868131868131866,0.32207475209763536,,0.32724067141649554,0.010204553604125977
CalibratedClassifierCV,0.3076923076923077,0.3115255530129672,,0.3139017304534546,0.3228278160095215
Perceptron,0.3076923076923077,0.3106559877955759,,0.3108302579221904,0.01216888427734375
LinearDiscriminantAnalysis,0.3076923076923077,0.31023932112890923,,0.31517860089288663,0.0060465335845947266
DummyClassifier,0.25274725274725274,0.25,,0.10198573356468092,0.010530710220336914
